Afghanistan	Asia/Kabul
Aland Islands	Europe/Mariehamn
Albania	Europe/Tirane
Algeria	Africa/Algiers
American Samoa	Pacific/Pago_Pago
Andorra	Europe/Andorra
Angola	Africa/Luanda
Anguilla	America/Anguilla
Antarctica	Antarctica/Casey
Antarctica	Antarctica/Davis
Antarctica	Antarctica/DumontDUrville
Antarctica	Antarctica/Mawson
Antarctica	Antarctica/McMurdo
Antarctica	Antarctica/Palmer
Antarctica	Antarctica/Rothera
Antarctica	Antarctica/Syowa
Antarctica	Antarctica/Troll
Antarctica	Antarctica/Vostok
Antigua America/Antigua
Barbuda	America/Antigua
Argentina	America/Argentina/Buenos_Aires
Argentina	America/Argentina/Catamarca
Argentina	America/Argentina/Cordoba
Argentina	America/Argentina/Jujuy
Argentina	America/Argentina/La_Rioja
Argentina	America/Argentina/Mendoza
Argentina	America/Argentina/Rio_Gallegos
Argentina	America/Argentina/Salta
Argentina	America/Argentina/San_Juan
Argentina	America/Argentina/San_Luis
Argentina	America/Argentina/Tucuman
Argentina	America/Argentina/Ushuaia
Armenia	Asia/Yerevan
Aruba	America/Aruba
Australia	Antarctica/Macquarie
Australia	Australia/Adelaide
Australia	Australia/Brisbane
Australia	Australia/Broken_Hill
Australia	Australia/Currie
Australia	Australia/Darwin
Australia	Australia/Eucla
Australia	Australia/Hobart
Australia	Australia/Lindeman
Australia	Australia/Lord_Howe
Australia	Australia/Melbourne
Australia	Australia/Perth
Australia	Australia/Sydney
Austria	Europe/Vienna
Azerbaijan	Asia/Baku
Bahamas	America/Nassau
Bahrain	Asia/Bahrain
Bangladesh	Asia/Dhaka
Barbados	America/Barbados
Belarus	Europe/Minsk
Belgium	Europe/Brussels
Belize	America/Belize
Benin	Africa/Porto-Novo
Bermuda	Atlantic/Bermuda
Bhutan	Asia/Thimphu
Bolivia	America/La_Paz
Bonaire America/Kralendijk
Saint Eustatius America/Kralendijk
Saba	America/Kralendijk
Bosnia Europe/Sarajevo
Herzegovina	Europe/Sarajevo
Botswana	Africa/Gaborone
Brazil	America/Araguaina
Brazil	America/Bahia
Brazil	America/Belem
Brazil	America/Boa_Vista
Brazil	America/Campo_Grande
Brazil	America/Cuiaba
Brazil	America/Eirunepe
Brazil	America/Fortaleza
Brazil	America/Maceio
Brazil	America/Manaus
Brazil	America/Noronha
Brazil	America/Porto_Velho
Brazil	America/Recife
Brazil	America/Rio_Branco
Brazil	America/Santarem
Brazil	America/Sao_Paulo
British Indian Ocean Territory	Indian/Chagos
British Virgin Islands	America/Tortola
Brunei	Asia/Brunei
Bulgaria	Europe/Sofia
Burkina Faso	Africa/Ouagadougou
Burundi	Africa/Bujumbura
Cambodia	Asia/Phnom_Penh
Cameroon	Africa/Douala
Canada	America/Atikokan
Canada	America/Blanc-Sablon
Canada	America/Cambridge_Bay
Canada	America/Creston
Canada	America/Dawson
Canada	America/Dawson_Creek
Canada	America/Edmonton
Canada	America/Fort_Nelson
Canada	America/Glace_Bay
Canada	America/Goose_Bay
Canada	America/Halifax
Canada	America/Inuvik
Canada	America/Iqaluit
Canada	America/Moncton
Canada	America/Nipigon
Canada	America/Pangnirtung
Canada	America/Rainy_River
Canada	America/Rankin_Inlet
Canada	America/Regina
Canada	America/Resolute
Canada	America/St_Johns
Canada	America/Swift_Current
Canada	America/Thunder_Bay
Canada	America/Toronto
Canada	America/Vancouver
Canada	America/Whitehorse
Canada	America/Winnipeg
Canada	America/Yellowknife
Cape Verde	Atlantic/Cape_Verde
Cayman Islands	America/Cayman
Central African Republic	Africa/Bangui
Chad	Africa/Ndjamena
Chile	America/Santiago
Chile	Pacific/Easter
China	Asia/Shanghai
China	Asia/Urumqi
Christmas Island	Indian/Christmas
Cocos Islands	Indian/Cocos
Colombia	America/Bogota
Comoros	Indian/Comoro
Cook Islands	Pacific/Rarotonga
Costa Rica	America/Costa_Rica
Croatia	Europe/Zagreb
Cuba	America/Havana
Curaçao	America/Curacao
Cyprus	Asia/Nicosia
Czech Republic	Europe/Prague
Democratic Republic of the Congo	Africa/Kinshasa
Democratic Republic of the Congo	Africa/Lubumbashi
Denmark	Europe/Copenhagen
Djibouti	Africa/Djibouti
Dominica	America/Dominica
Dominican Republic	America/Santo_Domingo
East Timor	Asia/Dili
Ecuador	America/Guayaquil
Ecuador	Pacific/Galapagos
Egypt	Africa/Cairo
El Salvador	America/El_Salvador
Equatorial Guinea	Africa/Malabo
Eritrea	Africa/Asmara
Estonia	Europe/Tallinn
Ethiopia	Africa/Addis_Ababa
Falkland Islands	Atlantic/Stanley
Faroe Islands	Atlantic/Faroe
Fiji	Pacific/Fiji
Finland	Europe/Helsinki
France	Europe/Paris
French Guiana	America/Cayenne
French Polynesia	Pacific/Gambier
French Polynesia	Pacific/Marquesas
French Polynesia	Pacific/Tahiti
French Southern Territories	Indian/Kerguelen
Gabon	Africa/Libreville
Gambia	Africa/Banjul
Georgia	Asia/Tbilisi
Germany	Europe/Berlin
Germany	Europe/Busingen
Ghana	Africa/Accra
Gibraltar	Europe/Gibraltar
Greece	Europe/Athens
Greenland	America/Danmarkshavn
